epoch,value
0,258.4613865006849
1,174.96068298109088
2,153.8896526199658
3,144.62764053777394
4,139.9943642513513
5,136.85356201864144
6,134.55710285381468
7,133.10739897816302
8,131.71663911815853
9,130.65559391822165
10,129.62441476630804
11,129.07472302846062
12,128.36869943543059
13,127.76993293978542
14,126.86102546446716
15,127.54333875400133
16,126.45933338590741
17,126.10265526582253
18,125.68142243296978
19,124.77203968819688
20,127.75544490706042
21,127.54852370783152
22,130.11235072346852
23,129.37245503301205
24,127.47296971860139
25,126.76267667312477
26,125.5877467972119
27,125.36150724414617
28,123.64777547912021
29,124.4438428305498
30,124.19550126766212
31,127.09275017145225
32,129.03666268476692
33,134.0265633826445
34,144.33200692247127
35,140.81292703264378
36,135.8141033208663
37,133.7298742341184
38,134.58282530122983
39,136.89085723934642
40,133.48496966587348
41,139.91920116402926
42,146.3444279055965
43,146.44893993817567
44,143.54467138279588
45,141.67000929141992
46,138.77553395954558
47,137.24492031162313
48,135.40065267234758
49,139.52330797047605
