epoch,value
0,13524.646988519118
1,8.96247062067431
2,-103.91256249046727
3,-114.19306484900758
4,-110.86032077656509
5,-99.34298745259075
6,-96.78402028964175
7,-113.40312404484861
8,-108.19612076358943
9,-104.12697736932407
10,-102.83618731035237
11,-94.06095048581811
12,-92.55254734246648
13,-99.03713533382577
14,-95.63778551682434
15,-96.09703122384902
16,-102.06931844903046
17,-103.41026731381896
18,-104.40147215917813
19,-102.78886340576754
20,-95.47217279227
21,-95.06302433272057
22,-90.7285173157582
23,-89.38765902635528
24,-93.98035085357425
25,-95.50493620059214
26,-96.83045284715465
27,-96.09020877762762
28,-88.81794920269277
29,-85.62277902069059
30,-91.78093215678443
31,-94.2335579640149
32,-90.3964482655511
33,-82.6359688214337
34,-90.72527413010347
35,-85.39606996585813
36,-82.74081498865472
37,-81.85990227360176
38,-78.1729866033906
39,-81.10151881582185
40,-77.44550029729514
41,-79.48557684912802
42,-76.56253217962325
43,-76.56015989567666
44,-81.09438660966683
45,-79.23965607440411
46,-85.12706418108853
47,-85.13667760030262
48,-81.93997965537493
49,-78.28252648654995
