experiment,variant,dataset,stage,method,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,n_seeds,seeds,axis:dataset.subset,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std
cmapss_explain,subset-FD004,cmapss:FD004,explain,PC conditional (exact),0.8434499136111304,0.016489741260489757,0.5358521979057137,0.015916851736307573,221.0,8.888194417315589,0.9690185780814908,0.0009416354977337887,0.9233328954078489,0.02284308452904683,0.9112158844793186,0.011740157195009676,0.5754844427781299,0.06566287960609021,0.5568682392582219,0.006471203816959203,0.05875153957574555,0.006720995320464379,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,PC marginal (exact),0.8518097603768292,0.01707854661769565,0.5861563152584973,0.014420786055340591,221.0,8.888194417315589,0.9647049119762072,0.009869126080556841,0.9817350327198934,0.007250852951577225,0.9713230558782748,0.0023010889001108844,0.4926573247457107,0.031133018645365735,0.49588705208243483,0.018683677806567166,0.06109674048477256,0.010832247318283179,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,PC structural (exact),0.6673927045940861,0.026118564103689203,0.3560684278746466,0.038387006136251164,221.0,8.888194417315589,0.7523982549870388,0.0347416906112445,0.6527029389161702,0.03739011042940561,0.6257456297169302,0.018893793073160907,0.6149785650578133,0.04629434503525024,0.6168708819001569,0.04661099806557313,0.06376254713121887,0.009857874955336661,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,PC Shapley (exact conditionals),0.8345355378030912,0.016002065035877363,0.5081730700378827,0.013659250975351799,221.0,8.888194417315589,0.9642574795707036,0.0022604176268097823,0.9122492911486129,0.02360567499813752,0.89923704016245,0.011365757686943914,0.5658931690072152,0.06675072209168227,0.5486763025416961,0.010684176168328586,0.057130265552700454,0.005963845764475339,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,Gaussian conditional (exact),0.8278842483799694,0.014924278990718702,0.5011511016686222,0.01139229202458548,221.0,8.888194417315589,0.9620684914877996,0.002368089122049417,0.8642350756583493,0.007667282193472766,0.8408490823956168,0.027255953170984268,0.5918956932907167,0.028162153961410866,0.7337885080321559,0.018414293665806193,0.06628604511480116,0.01762333884937681,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,AE reconstruction (per channel),0.7660278378967692,0.009807678788085309,0.44783416871594217,0.036746430963408364,221.0,8.888194417315589,0.8451277300544041,0.03113665335294892,0.772464778037937,0.014790297084677065,0.8241767231030038,0.039571761987306005,0.519739423578003,0.0600715629785744,0.5976220401929503,0.03661571287408438,0.09933875643012667,0.016973672192002947,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,AE sampling-SHAP (32/ch),0.7547710076401591,0.017761076942948224,0.4120852496781304,0.011410995296502066,221.0,8.888194417315589,0.8374266757443175,0.030615958789358525,0.7984427882804758,0.03218157823122695,0.8448365169492703,0.014629427983073916,0.4961874499006274,0.030341445770825804,0.5048415634479487,0.022909854213280654,0.06987169340708782,0.010062325423197916,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,z-score (per channel),0.8442691952742626,0.02005740440383851,0.575365290958313,0.017546500887928574,221.0,8.888194417315589,0.9938707305115391,0.0013492444553565458,0.9604083377236284,0.006551541268626862,0.9685307236854132,0.0014022819648410254,0.5060952244010231,0.04173186402111301,0.45936654884297107,0.0063355776453993436,0.06149937850307798,0.006960853825527631,3,"[0, 1, 2]",FD004,,,,
cmapss_explain,subset-FD004,cmapss:FD004,explain,PC chain-rule completeness,,,,,,,,,,,,,,,,,,,3,"[0, 1, 2]",FD004,0.000823974609375,0.0010043019208925985,2.9350630939006805e-05,3.7344481375842636e-05
cmapss_explain,subset-FD002,cmapss:FD002,explain,PC conditional (exact),0.853305702893012,0.0015722085295628249,0.5177992157940903,0.014414789665160415,217.33333333333334,19.65536398374076,0.9729477414218813,0.005595553276970589,0.9048509514793118,0.004768498568118944,0.892553186281467,0.01554797717062115,0.6168163118064661,0.04302317375383135,0.621697861001594,0.027834937197162433,0.06472330763455057,0.002711319510415773,3,"[0, 1, 2]",FD002,,,,
