epoch,value
0,11948.86608725189
1,1407.2310296503942
2,349.4068896345921
3,258.69861055601297
4,241.96273039329256
5,236.16995944796528
6,231.3672787123682
7,226.34410151173353
8,213.5007003351511
9,200.02221702763174
10,190.3625907796993
11,179.33907313788546
12,172.0944684380169
13,169.8130687461233
14,166.83054881681792
15,166.28304419129918
16,165.27315101551423
17,161.73035270243827
18,162.6707580797163
19,156.66920994432303
20,152.3293554699038
21,154.5674253582729
22,152.63059046840849
23,147.5836344151055
24,142.10756396922812
25,140.07060931084962
26,138.73774198304955
27,138.0074884540868
28,137.1926164017733
29,136.1256131725636
30,135.08211256290429
31,134.50548645481044
32,134.19354603412245
33,134.13006399115002
34,133.62439734417458
35,133.40877807847943
36,133.14536434526931
37,133.20496634066893
38,132.82945031669055
39,132.81475358757496
40,132.81920066213337
41,132.29922347474414
42,132.29288464493922
43,131.4034978740382
44,130.42555555837592
45,129.11096727915657
46,128.57805815554295
47,128.2610754117623
48,127.7951741844134
49,127.1268874862469
