epoch,value
0,33103.1361534883
1,3696.8156128160444
2,930.8454620765152
3,394.7844120595315
4,262.2476359434074
5,215.27711690459225
6,194.67636318963957
7,181.28876530263284
8,178.19969285124867
9,171.23047592653444
10,165.7541636822129
11,168.67947699216904
12,162.0498949018453
13,163.48880791763276
14,160.26822367850232
15,159.53398161168812
16,154.24470545402772
17,157.0136599044944
18,153.9743584789716
19,152.1296970533288
20,156.14662342323922
21,154.43450274692816
22,149.6511614044132
23,152.72436508438312
24,148.72974006061517
25,149.89446200567292
26,149.94707193356606
27,145.93471712570334
28,151.7495319907291
29,146.28673939118988
30,148.64167665074137
31,148.91266045092635
32,147.26169899722353
33,146.6538508280013
34,146.35784966337206
35,147.145474600837
36,146.07908658638794
37,148.80681306950763
38,145.33461667729685
39,146.23263904593168
40,145.74299106994513
41,143.73151875083073
42,148.93939467431917
43,147.0284689659883
44,144.99259572596992
45,143.27251064250058
46,141.7774345873885
47,152.17179975599782
48,168.05497156730897
49,152.69559882872497
