variant,method_name,mask,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,n_seeds,seeds
blocked,circuit,bank0:0-1,2.23697407226834,0.1511725848560893,2.094151342177804,0.13994651214445272,0.35509708748512797,0.08719948662986732,0.4136678144477374,0.049333369735879984,2.100110310659519,0.13595013762575267,0.21097124688150717,0.21747080313645045,2.3778721777534493,0.17357101136079803,3,"[11, 12, 13]"
blocked,circuit,full,3.163006860186305,0.02986589547082008,0.8601071904396064,0.24663549116794847,0.4363350405420745,0.027750486633345308,0.38648072703026176,0.023038995816108878,3.074702525284889,0.028425435518545428,0.4719162232854952,0.06656597858142742,6.6152804610683775,0.18550188568027143,3,"[11, 12, 13]"
blocked,circuit,random1:0,2.5896647094134715,0.17658419166488235,2.4387190767667097,0.19183011933242486,0.2691894172766327,0.06895326641244921,0.39177729048113735,0.02972426274724756,2.4642290644731406,0.148552231581458,0.16404232155257445,0.15797475204356023,4.670818114512634,0.3634708467404967,3,"[11, 12, 13]"
blocked,circuit,random2:1-2,3.5080912183899833,0.30856291000013475,-1.2279424159049117,0.2731181872601971,0.5782405290246765,0.04926270646576961,0.38247363247048405,0.011970227921570348,3.4873691782641725,0.3023421397753517,0.5292714036762232,0.06344022581445619,3.532263006030929,0.31982085438182667,3,"[11, 12, 13]"
blocked,circuit,random3:1-2-3,0.37059103667763504,0.004262715209139094,0.1477243780462943,0.04973370658257949,0.9449980828091569,0.0024032551508691323,0.37059103667763504,0.004262715209139094,0.0,0.0,,,0.3705910209817453,0.004262697962097558,3,"[11, 12, 13]"
blocked,circuit,single_sensor_0,0.37059103667763504,0.004262715209139094,0.1477243780462943,0.04973370658257949,0.9449980828091569,0.0024032551508691323,0.37059103667763504,0.004262715209139094,0.0,0.0,,,0.3705910209817453,0.004262697962097558,3,"[11, 12, 13]"
conditional,circuit,bank0:0-1,2.1122100196557705,0.00624240528702147,1.9578524232550618,0.03385816376929027,0.3930743376984531,0.04697533805915817,0.40214271677911806,0.020219238206173894,2.002308361528812,0.009282797587812692,0.3410978966099623,0.03645410712564484,2.2206811343695203,0.009658838639261796,3,"[11, 12, 13]"
conditional,circuit,full,3.0632997042811927,0.12828365570426484,0.7745906184410102,0.10427181787046197,0.4695651777246191,0.05160365106038996,0.3762470803468912,0.016215917075975965,2.981182281751901,0.1274205513405475,0.5026493506044462,0.027506691026552305,6.461115494418327,0.3714653810692186,3,"[11, 12, 13]"
conditional,circuit,random1:0,2.4640787612698243,0.06227099901248928,2.3109743607582054,0.08340147426068545,0.3149087756809465,0.07099060064510815,0.3822139481937929,0.02217271290352378,2.3612708323360496,0.04362339076444595,0.3163971633921289,0.0576989932797382,4.417728459674383,0.13558910629719587,3,"[11, 12, 13]"
conditional,circuit,random2:1-2,3.526954965975951,0.3022105005420622,-1.2499632096607607,0.2361569818955217,0.5688625076252029,0.05328754640263457,0.38562869195695787,0.038768113260467606,3.50488411459292,0.30058625757021223,0.5162933897194565,0.08500875015279755,3.55358983654352,0.3117992358619359,3,"[11, 12, 13]"
