variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
blocked,circuit,bank0:0-1,0.006555916666608634,7.471574616044828e-05,0.004383749666582541,8.128210779143528e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,2.0662943522135415e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
blocked,circuit,full,0.006705277999875155,0.00014805464622551524,0.004564583333073339,9.443750692470792e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,4.0,0.0,4.132588704427083e-06,5.506041232963808e-07,3,"[11, 12, 13]",1.0
blocked,circuit,random1:0,0.006635221999507242,0.00011033352717818537,0.0044152363334433176,0.000153793190180428,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,3.0,0.0,2.0662943522135415e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
blocked,circuit,random2:1-2,0.006596403000003193,1.9939397558941513e-05,0.004436222333121502,1.698788698657694e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,1.7484029134114583e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
blocked,circuit,random3:1-2-3,0.006630902666377854,6.649867330432642e-05,0.004419639000237415,1.6188606668746965e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,7.947285970052084e-07,2.7530206164819037e-07,3,"[11, 12, 13]",1.0
blocked,circuit,single_sensor_0,0.006585041666464046,7.328852981057037e-05,0.00437597200016171,7.558800179978875e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,7.947285970052084e-07,2.7530206164819037e-07,3,"[11, 12, 13]",1.0
conditional,circuit,bank0:0-1,0.006720444666825642,0.00025659313055115534,0.0041237639998144004,0.0001809877125769818,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,1.986821492513021e-06,3.6419039527224225e-07,3,"[11, 12, 13]",1.0
conditional,circuit,full,0.006915431000076448,0.00012826281194743645,0.004311097666686692,0.0002563523115235056,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,4.0,0.0,4.450480143229167e-06,1.1012082465927617e-06,3,"[11, 12, 13]",1.0
conditional,circuit,random1:0,0.009428819666633595,0.00462221743000251,0.004441944666420265,0.000490252527222716,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,3.0,0.0,3.337860107421875e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
conditional,circuit,random2:1-2,0.006991972666886189,0.0007772899244802164,0.004218721999677655,0.00033532768683222186,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,1.9073486328125e-06,0.0,3,"[11, 12, 13]",1.0
conditional,circuit,random3:1-2-3,0.006727527999828453,0.00012100813571098548,0.004399458333258129,0.000578807048239547,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,1.0331471761067708e-06,3.641903952722422e-07,3,"[11, 12, 13]",1.0
conditional,circuit,single_sensor_0,0.006759582999923926,0.0002908129034812003,0.004123208333112416,6.769166457662722e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,1.0331471761067708e-06,3.641903952722422e-07,3,"[11, 12, 13]",1.0
conditional_nll_selection,circuit,bank0:0-1,0.007693347332860867,0.0017594979877775551,0.004193249666665603,0.00016566888560761085,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,1.986821492513021e-06,3.6419039527224225e-07,3,"[11, 12, 13]",1.0
conditional_nll_selection,circuit,full,0.007185264000327152,0.00013431113859816338,0.004922583333306345,0.0005663131859545462,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,4.0,0.0,4.450480143229167e-06,1.1012082465927617e-06,3,"[11, 12, 13]",1.0
conditional_nll_selection,circuit,random1:0,0.006929208000049887,0.0002237087227313442,0.004160610999557927,0.0001228943205399685,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,3.0,0.0,3.337860107421875e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
conditional_nll_selection,circuit,random2:1-2,0.006752847333397464,0.00028843936419662916,0.0041399719999996405,5.543947332228528e-05,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,1.9073486328125e-06,0.0,3,"[11, 12, 13]",1.0
conditional_nll_selection,circuit,random3:1-2-3,0.00804434733314944,0.0008580369744337059,0.004460055666944148,0.00027330990766714143,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,1.0331471761067708e-06,3.641903952722422e-07,3,"[11, 12, 13]",1.0
