variant,method_name,mask,score,loc_ap_n_mean,loc_ap_n_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac,loc_ap_mean,loc_ap_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std
blocked,circuit,bank0:0-1,conditional_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
blocked,circuit,bank0:0-1,independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
blocked,circuit,bank0:0-1,joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
blocked,circuit,bank0:0-1,marginal_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
blocked,circuit,bank0:0-1,relational_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.3333333333333333,0.0,0.0,0.0,,,,
blocked,circuit,full,conditional_max,200.0,0.0,0.09666666666666666,0.04645786621588785,0.0,0.0,170.0,13.114877048604,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.6144444444444445,0.025332282507445614,0.4033333333333333,0.04252450274057692
blocked,circuit,full,independent,200.0,0.0,0.005,0.005,0.0,0.0,193.33333333333334,4.618802153517007,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.5468055555555555,0.009827799761296973,0.33166666666666667,0.016072751268321573
blocked,circuit,full,joint,200.0,0.0,0.03166666666666667,0.025658007197234416,0.0,0.0,187.33333333333334,11.239810200058244,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.6144444444444445,0.025332282507445614,0.4033333333333333,0.04252450274057692
blocked,circuit,full,marginal_max,200.0,0.0,0.02,0.015000000000000001,0.0,0.0,188.66666666666666,9.451631252505216,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.5468055555555555,0.009827799761296973,0.33166666666666667,0.016072751268321573
blocked,circuit,full,relational_max,200.0,0.0,0.16166666666666665,0.14002975874196646,65.66666666666667,113.73800303035625,93.33333333333333,80.8537774833887,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.653888888888889,0.1073426928286397,0.36833333333333335,0.31907418155239914
blocked,circuit,random1:0,conditional_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
blocked,circuit,random1:0,independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
