variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,circuit,bank0:0-1,conditional_max,0.05000000000000001,8.498374721940739e-18,0.06166666666666667,0.03752776749732568,0.06166666666666667,0.03752776749732568,8.830263614654541,1.1537283155071336,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,independent,0.05000000000000001,8.498374721940739e-18,0.05833333333333334,0.04010403138505322,0.05833333333333334,0.04010403138505322,16.232316335042317,1.7365664418529723,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,joint,0.05000000000000001,8.498374721940739e-18,0.06166666666666667,0.04252450274057691,0.06166666666666667,0.04252450274057691,15.843951543172201,2.034049575014622,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,marginal_max,0.05000000000000001,8.498374721940739e-18,0.049999999999999996,0.022912878474779203,0.049999999999999996,0.022912878474779203,9.23491382598877,0.8292551409128217,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,relational_max,0.05000000000000001,8.498374721940739e-18,0.03666666666666667,0.014433756729740642,0.03666666666666667,0.014433756729740642,0.41546328862508136,0.3600786161968829,3,"[11, 12, 13]",0.3333333333333333,0.0,0.0,0.0
blocked,circuit,full,conditional_max,0.05000000000000001,8.498374721940739e-18,0.055,0.04444097208657795,0.15,0.06557438524302,9.64487393697103,1.1604908404547887,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,independent,0.05000000000000001,8.498374721940739e-18,0.05333333333333334,0.023094010767585032,0.03333333333333333,0.02309401076758503,31.592875798543293,1.88361958900544,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,joint,0.05000000000000001,8.498374721940739e-18,0.05333333333333334,0.04645786621588784,0.06333333333333334,0.05619905100029122,31.005571365356445,3.6075811924157897,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,marginal_max,0.05000000000000001,8.498374721940739e-18,0.04833333333333333,0.036170890690351176,0.05666666666666667,0.04725815626252608,9.971245765686035,1.0444415717204227,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,relational_max,0.05000000000000001,8.498374721940739e-18,0.05666666666666667,0.014433756729740645,0.3216666666666667,0.03883726732577015,1.3930505116780598,0.35058833050486715,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,conditional_max,0.05000000000000001,8.498374721940739e-18,0.056666666666666664,0.04856267428111156,0.056666666666666664,0.04856267428111156,9.297341664632162,1.4530889353213676,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,independent,0.05000000000000001,8.498374721940739e-18,0.04833333333333333,0.036170890690351176,0.04833333333333333,0.036170890690351176,23.91087595621745,1.87480302834948,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,joint,0.05000000000000001,8.498374721940739e-18,0.05333333333333334,0.04072263907623539,0.05333333333333334,0.04072263907623539,23.283910751342773,2.5360497148247094,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,marginal_max,0.05000000000000001,8.498374721940739e-18,0.045000000000000005,0.0360555127546399,0.045000000000000005,0.0360555127546399,9.710085233052572,1.145245754059464,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,relational_max,0.05000000000000001,8.498374721940739e-18,0.06333333333333334,0.018929694486000914,0.06333333333333334,0.018929694486000914,0.7734489440917969,0.6732645221885919,3,"[11, 12, 13]",0.3333333333333333,0.0,0.0,0.0
blocked,circuit,random2:1-2,conditional_max,0.05000000000000001,8.498374721940739e-18,0.06166666666666667,0.010408329997330665,0.18166666666666667,0.03175426480542943,8.516958554585775,0.43680232468939045,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random2:1-2,independent,0.05000000000000001,8.498374721940739e-18,0.06666666666666667,0.020207259421636897,0.04,0.02783882181415011,15.284760157267252,1.063408090158426,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random2:1-2,joint,0.05000000000000001,8.498374721940739e-18,0.06333333333333334,0.017559422921421233,0.09000000000000001,0.0264575131106459,15.036491711934408,0.7278970519061162,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random2:1-2,marginal_max,0.05000000000000001,8.498374721940739e-18,0.05833333333333333,0.005773502691896259,0.07333333333333335,0.01258305739211792,8.854073842366537,0.3522374596036816,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random2:1-2,relational_max,0.05000000000000001,8.498374721940739e-18,0.043333333333333335,0.020207259421636904,0.3383333333333333,0.025166114784235825,0.7172125180562338,0.27957801934437276,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:1-2-3,conditional_max,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:1-2-3,independent,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:1-2-3,joint,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.11082394917806,0.6078342052436464,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:1-2-3,marginal_max,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:1-2-3,relational_max,0.05000000000000001,8.498374721940739e-18,0.0,0.0,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0,0.0,0.0,0.0
blocked,circuit,single_sensor_0,conditional_max,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
