variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,n_seeds,seeds
blocked,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
conditional,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
conditional_nll_selection,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
interface,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
interface_conditional,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
mixture,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
random,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
unblocked,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
uniform_wide,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
within_capacity,0.48155,0.02226208941227215,400.0,0.0,400.0,0.0,3,"[11, 12, 13]"
