experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_max_abs_mean,oracle_conditional_max_abs_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_bias_mean,oracle_marginal_bias_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_marginal_max_abs_mean,oracle_marginal_max_abs_std,oracle_marginal_corr_mean,oracle_marginal_corr_std,oracle_R_bias_mean,oracle_R_bias_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_max_abs_mean,oracle_R_max_abs_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_bias_mean,oracle_log_px_bias_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[independent_block]_mean,auroc[independent_block]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,model,2.483526865641276e-08,6.022232598554165e-08,64.0,0.0,57.0,0.0,240.0,0.0,361.0,0.0,1488.0,0.0,952.0,78.79086241436883,119.0,9.848857801796104,93.0,9.848857801796104,20.471670786539715,0.2404043770188749,6.6135780811309814,0.5788672467865853,20.227201620737713,0.09201773475504421,0.02,0.0,150.0,0.0,128.0,0.0,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,0.48155,0.02226208941227215,0.0,0.0,400.0,0.0,400.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,3.814697265625e-06,9.5367431640625e-07,0.00689112466716324,8.559556896767931e-05,0.005539722331983891,0.0020777543655267827,400.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,450.0,0.0,16.0,0.0,1.0,0.0,0.006803666666666666,9.112811494447423e-05,180000.0,0.0,12800.0,0.0,1600.0,0.0,25600.0,0.0,-0.012711129151284695,0.006169017122111348,0.05883640547593435,0.020332178188361902,0.07767386858661969,0.028574138927947905,-0.12490809708833694,0.029009023882931924,0.0922371248404185,0.027054068722764377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,known-law error full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12700692705839287,0.01342414849331677,0.3546850811713688,0.01516672368152199,5.048677504961506,1.3492710333352487,0.9454091100176751,0.00296384214765855,0.12097950749128406,0.015516740998294611,0.35042221217111863,0.015056063632808571,4.994366706316485,1.3558655060543972,0.9460296317594983,0.0030912021715753203,0.006027402083079662,0.003558452482076205,0.032683972517649366,0.013333431363997292,0.2676677703857422,0.14963212018586458,-0.022114733089255656,0.019868397903280578,-0.4959746977698541,0.0575927637265781,0.82000819939108,0.06595326304074715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,26.130294799804688,1.0522902235781013,16.780077298482258,1.043991609951133,0.053333333333333344,0.01527525231651947,0.045000000000000005,0.02179449471770337,0.499175,0.002295103483505672,0.5011385033762327,0.004306902181609429,0.499175,0.002295103483505672,0.5161111111111111,0.011002945733521285,200.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,199.66666666666666,0.5773502691896258,190.66666666666666,4.163331998932265,0.24041038525963146,0.009036649106745304,0.01,0.005
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,26.18794059753418,0.976734402001418,16.71976947784424,1.242279890245828,0.05000000000000001,0.015,0.041666666666666664,0.01607275126832159,0.499875,0.002833284313301463,0.5015504255270281,0.00393641008782703,0.499875,0.002833284313301463,0.5183333333333333,0.010712466776818676,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,191.66666666666666,3.2145502536643185,0.245,0.010000000000000009,0.01,0.005
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,10.048541069030762,0.5542644892025964,11.609260559082031,2.9188964141952822,0.05000000000000001,0.020000000000000004,0.06,0.01322875655532295,0.5006916666666666,0.0015738256203701108,0.5041977605545812,0.009327407856805386,0.5006916666666666,0.0015738256203701108,0.5183333333333333,0.010712466776818676,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,188.0,2.6457513110645907,0.245,0.010000000000000009,0.02,0.01
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,10.00691000620524,0.5860886550592681,11.690182367960611,2.9456429352985407,0.05000000000000001,0.020000000000000004,0.06166666666666667,0.012583057392117913,0.500775,0.0021625000000000116,0.5060337629262576,0.010163940906349858,0.500775,0.0021625000000000116,0.5161111111111111,0.011002945733521285,200.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,199.66666666666666,0.5773502691896258,187.33333333333334,3.0550504633038935,0.24041038525963146,0.009036649106745304,0.021666666666666667,0.012583057392117916
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,0.11397425333658855,0.04346427111835866,0.26906776428222656,0.1386386012143016,0.07333333333333333,0.03329164059239696,0.06166666666666667,0.015275252316519466,0.4940125,0.017929710852381292,0.4988745162537305,0.014128881444477543,0.4940125,0.017929710852381292,0.5093055555555556,0.004608516673065842,200.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,69.03863652574067,146.66666666666666,69.03863652574067,137.33333333333334,67.92888438163351,0.2491350471017354,0.014586300929595388,0.006666666666666667,0.011547005383792516
diagnosis_controls,conditional_nll_selection,synthetic,diagnosis,query full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",conditional_nll_selection,,,,,,,,,,,0.0,0.0,0.0017986943336533538,0.00016819044679699472,0.0016964723351217497,0.00022778807702457938,400.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,-7.105427357601002e-17,1.0805156823142816e-16,1.3559523874088578e-15,1.4897411453073922e-16,2.1872322410349084e-15,1.2232396861929305e-16,-3.552713678800501e-15,0.0,3.552713678800501e-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
