experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,components_mean,components_std,rank_mean,rank_std,selection_score_mean,selection_score_std,n_stabilizations_mean,n_stabilizations_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,trials_mean,trials_std,trial_alpha_mean,trial_alpha_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_power_q05_mean,trial_power_q05_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,trajectory_n_mean,trajectory_n_std,trajectory_auroc_mean,trajectory_auroc_std,trajectory_fpr_mean,trajectory_fpr_std,trajectory_power_mean,trajectory_power_std,n_fits_mean,n_fits_std
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,model,1.3733903566996257e-06,1.7092926652041301e-06,2400.0,0.0,2385.0,0.0,19136.0,0.0,23921.0,0.0,174240.0,0.0,2760.0,103.92304845413264,180.0,0.0,172.66666666666666,3.0550504633038935,33.48628362019857,1.8445970648970993,1435.298450390498,127.87106752920972,28.358548283554892,4.200601930242901,0.02,0.0,180.0,0.0,256.0,0.0,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,0.5580858376836484,0.011033518695286345,0.0,0.0,1128.0,157.12415473121885,871.3333333333334,59.87765303795175,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,model gaussian_fitted,,,,,,,,,,,45450.0,0.0,,,,,,,,,0.3210649860011472,0.034105726036797485,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,1.0,0.0,300.0,0.0,-171.15366534841655,3.379786353055479,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,3.1789143880208336e-05,1.43157072057059e-05,0.879432639000394,0.251212484910812,0.19834036133640134,0.010663068411589677,871.3333333333334,59.87765303795175,15.0,0.0,15.0,0.0,15.0,0.0,6.0,0.0,50324.0,0.0,240.0,0.0,2.0,0.0,0.8785676666666666,0.2512180172486308,21924489.333333332,1506641.505740942,209120.0,14370.636729108423,13070.0,898.1647955692764,245760.0,0.0,7.571545600891113,0.6108530405451084,7.611560821533203,0.6093040125542827,2.7125608126322427,0.6086910777109544,1.8996525605519612,0.40803994156730655,10.469950358072916,1.9953816038334122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,60.084320068359375,15.812772852243471,957.1067504882812,177.6999012649871,0.08793374567140194,0.04921081288580359,0.5687157220188609,0.055048578736370174,0.7959469066753312,0.004774929335992406,0.8462868977333168,0.008489111961550054,0.5154417544779001,0.004957884302645378,0.5597919703821314,0.011941648013663653,0.9960681634865333,0.002788444775635226,0.9931516102563934,0.003499423598821991,0.9258720529634901,0.03330783965736542,0.6903194572624137,0.00250305342755866,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,188.66666666666666,34.847285881877994,0.6493006006075324,0.00932899016910065,0.5361731285330897,0.03357922184355077,200.0,0.0,0.10000000000000002,1.6996749443881478e-17,0.08793374567140196,0.049210812885803576,0.08793374567140194,0.04921081288580359,0.08793374567140194,0.04921081288580359,0.3333333333333333,0.5773502691896258,0.5687157220188611,0.05504857873637016,0.5687157220188609,0.055048578736370174,0.0,0.0,10.0,0.0,20.0,0.0,1.0,0.0,0.3,0.0,1.0,0.0,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,69.89380009969075,15.439806966767469,951.2019653320312,184.19406006448088,0.08315443887073959,0.047659022502529465,0.5493325930524559,0.05002939104190288,0.7821772136969831,0.0033461280471455226,0.8368283705692932,0.007753293454051743,0.5156650124614467,0.0035877479073603484,0.49856967919533773,0.020479216836240714,0.9940707769647043,0.004050051667641729,0.9891828999660749,0.004260862754289426,0.922536227221713,0.036563569766784584,0.6594873271339791,0.0018825915694884207,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,197.0,32.78719262151,0.6179786201375027,0.005694835424421307,0.5185710878200712,0.032016339983759266,200.0,0.0,0.10000000000000002,1.6996749443881478e-17,0.08315443887073957,0.04765902250252945,0.08315443887073959,0.047659022502529465,0.08315443887073959,0.047659022502529465,0.3333333333333333,0.5773502691896258,0.5493325930524557,0.050029391041902974,0.5493325930524559,0.05002939104190288,0.0,0.0,10.0,0.0,20.0,0.0,1.0,0.0,0.3,0.0,1.0,0.0,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,30.088947931925457,0.9592566009375064,544.6585286458334,120.47253675533638,0.03197920248099386,0.022388800044542558,0.5799909530225369,0.013231170624194587,0.7896989697769872,0.0018968721691944926,0.8517930585254181,0.0019401614288506136,0.5183757697285288,0.003332857849567251,0.4836256488931801,0.009479273573201039,0.9960171710385418,0.0047726906834428965,0.9963702071431847,0.0030216774634383116,0.9615654514227222,0.018469314608571485,0.6594873271339791,0.0018825915694884207,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,183.0,14.0,0.6179786201375027,0.005694835424421307,0.5720927878095016,0.011131252429995471,200.0,0.0,0.10000000000000002,1.6996749443881478e-17,0.03197920248099386,0.022388800044542558,0.03197920248099386,0.022388800044542558,0.03197920248099386,0.022388800044542558,0.0,0.0,0.5799909530225369,0.013231170624194526,0.5799909530225369,0.013231170624194587,0.0,0.0,10.0,0.0,20.0,0.0,1.0,0.0,0.19999999999999998,0.09999999999999999,1.0,0.0,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,29.37730662027995,0.6895709809308265,544.2274169921875,120.32803651073071,0.031095320072262428,0.021197301119327466,0.5913952472185809,0.00990433576266451,0.8043438004387854,0.0016133639863621333,0.860821633872381,0.0017018564766935471,0.5211724106287027,0.004547281001877523,0.5510065377883867,0.007688276745836973,0.9991593316765554,0.000475525596272827,0.9985880170454742,0.001263300821016574,0.9610767267197206,0.018324513206158057,0.6903194572624137,0.00250305342755866,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,178.0,12.529964086141668,0.6493006006075324,0.00932899016910065,0.5827071925900636,0.010490987709327581,200.0,0.0,0.10000000000000002,1.6996749443881478e-17,0.03109532007226244,0.021197301119327477,0.031095320072262428,0.021197301119327466,0.031095320072262428,0.021197301119327466,0.0,0.0,0.5913952472185808,0.009904335762664451,0.5913952472185809,0.00990433576266451,0.0,0.0,10.0,0.0,20.0,0.0,1.0,0.0,0.30000000000000004,0.1,1.0,0.0,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,1.7706432342529297,0.4039316272239566,12.158127466837565,0.8055384776156035,0.11866220554295431,0.0017372397062377844,0.4439882753763871,0.03829378154978628,0.7059475480481322,0.00981051754947969,0.7621128613156123,0.013181475062650024,0.5072934590167489,0.022082633828811652,0.737954401095117,0.030923735922467572,0.8887454314824147,0.023453729411010735,0.8664414867099853,0.05085661201246717,0.5419379381053232,0.02532225924716936,0.46045748695872124,0.01764565718294932,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,118.33333333333333,38.7986254052039,317.3333333333333,8.962886439832502,124.66666666666667,4.932882862316247,0.5946407752346535,0.026359406424810067,0.35577822027243794,0.03836607867429355,200.0,0.0,0.10000000000000002,1.6996749443881478e-17,0.11866220554295431,0.0017372397062377502,0.11866220554295431,0.0017372397062377844,0.11866220554295431,0.0017372397062377844,1.0,0.0,0.443988275376387,0.03829378154978622,0.4439882753763871,0.03829378154978628,0.0,0.0,10.0,0.0,20.0,0.0,0.9966666666666667,0.005773502691896262,0.6333333333333333,0.11547005383792514,1.0,0.0,,
diagnosis_fd001_detection,blocked_ref,cmapss:FD001,diagnosis,query full | gaussian_fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",blocked_ref,,,,,,,,,,,,,,,,,,,0.0,0.0,1.040512749999228,0.17536131697344629,0.013263666332932189,0.0018249064044193921,871.3333333333334,59.87765303795175,15.0,0.0,15.0,0.0,15.0,0.0,62.0,0.0,9600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4182400.0,287412.73458216846,0.0,0.0,13070.0,898.1647955692764,10214400.0,0.0,14.496685004899525,2.455280139830777,14.506740300708586,2.440682907354332,6.235678541814753,0.23958083461577884,5.343501383403506,2.2287799679889515,26.071953605050595,2.4427795397111174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
