experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,axis:model.lr,axis:model.epochs,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_max_abs_mean,oracle_conditional_max_abs_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_bias_mean,oracle_marginal_bias_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_marginal_max_abs_mean,oracle_marginal_max_abs_std,oracle_marginal_corr_mean,oracle_marginal_corr_std,oracle_R_bias_mean,oracle_R_bias_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_max_abs_mean,oracle_R_max_abs_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_bias_mean,oracle_log_px_bias_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[independent_block]_mean,auroc[independent_block]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,model,-5.960464477539063e-08,2.1490760299348766e-07,64.0,0.0,81.0,0.0,384.0,0.0,529.0,0.0,2688.0,0.0,480.0,0.0,60.0,0.0,58.0,1.0,19.479878743489582,0.3434279329324374,1.5782574812571208,0.19362115576288616,19.41620445251465,0.1708785646071666,0.02,0.0,60.0,0.0,128.0,0.0,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,0.48155,0.02226208941227215,0.0,0.0,400.0,0.0,400.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,4.609425862630208e-06,5.506041232963808e-07,0.013908778000768507,0.00012973191812622008,0.008953555666569931,0.00013532888855123415,400.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,802.0,0.0,32.0,0.0,1.0,0.0,0.013776333333333335,0.00012073248665265365,320800.0,0.0,25600.0,0.0,1600.0,0.0,51200.0,0.0,0.9889964461326599,0.21113426490818796,1.3403834501902263,0.09414147062814018,1.1815914511680603,0.16776886207098518,-1.16537606716156,0.5679905045750424,2.5980099042256675,0.20977960830304904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,known-law error full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744296926487987,0.14536426833872615,3.0914729411653545,0.07424808132711234,44.71893936666337,14.606406489707663,0.43458167746968107,0.029009052208091912,0.12991297577144098,0.00925751579016464,0.36173142094548805,0.02036699352450944,5.154941264715988,1.384828588529464,0.9467034771256954,0.010422413532488352,0.6143839506668753,0.13611132079833183,3.0094168867884874,0.07240239653395356,45.291014154513185,14.260611409649952,0.4741543280507233,0.03362058877634144,-1.799867536307529,0.40935850909763666,6.54102971972164,0.2178171817641996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,30.33002535502116,3.010134462432547,44.174177169799805,12.187127599075104,0.056666666666666664,0.03547299442298794,0.05833333333333333,0.05299371031861549,0.5896166666666667,0.005450707140668387,0.54975537099126,0.007849727565317327,0.5896166666666667,0.005450707140668387,0.6370833333333333,0.015877132402714628,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,188.33333333333334,10.598742063723098,0.445,0.02598076211353315,0.024999999999999998,0.022912878474779203
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,31.470706939697266,2.8537415538951914,45.778204600016274,11.874057867703968,0.05833333333333333,0.03329164059239696,0.03666666666666667,0.02254624876411447,0.5247083333333333,0.003500208327133284,0.4978901490460957,0.0009427353246397531,0.5247083333333333,0.003500208327133284,0.5476388888888888,0.010226033407888867,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,192.66666666666666,4.509249752822894,0.3333333333333333,0.00763762615825974,0.0033333333333333335,0.005773502691896258
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,9.772699038187662,1.0664471286667019,15.793564478556315,1.0007265771007225,0.04833333333333334,0.02929732638541158,0.065,0.04358898943540674,0.5690916666666667,0.01040872030238745,0.5476589348774717,0.0025488935774845675,0.5690916666666667,0.01040872030238745,0.5476388888888888,0.010226033407888867,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,187.0,8.717797887081348,0.3333333333333333,0.00763762615825974,0.023333333333333334,0.01607275126832159
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,9.247490564982096,1.041739342553073,15.236688296000162,0.9136861288967735,0.051666666666666666,0.03214550253664318,0.13833333333333334,0.07371114795831994,0.6482375,0.0035938967361347374,0.6369678762406075,0.009644679807279023,0.6482375,0.0035938967361347374,0.6370833333333333,0.015877132402714628,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,172.33333333333334,14.742229591663989,0.445,0.02598076211353315,0.09333333333333334,0.043684474740270526
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,1.5186328887939453,0.17579631033098905,6.684640884399414,0.4985833257757832,0.065,0.03122498999199199,0.2866666666666667,0.022546248764114468,0.7112166666666667,0.012196671762547927,0.7379470763677677,0.017876653742824784,0.7112166666666667,0.012196671762547927,0.7101388888888889,0.0039601603970508565,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,142.66666666666666,4.509249752822894,0.5383333333333334,0.016072751268321608,0.22166666666666668,0.012583057392117913
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,query full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,0.0,0.0,0.0017021253346077476,8.017885458907527e-06,0.001630457999757103,5.625041118646108e-05,400.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,7.458060888417314,0.25529820977805073,7.487742644178159,0.25596136975985045,4.29311638370771,0.41949207003236205,1.7165980586251164,0.2537650127276923,15.199188680483672,0.48829298369248797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
