experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,n_seeds,seeds,axis:variant,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[independent_block]_mean,auroc[independent_block]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_smoke,conditional,synthetic,diagnosis,model,0.0,0.0,12.0,0.0,9.0,0.0,20.0,0.0,41.0,0.0,60.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,8.63642692565918,0.0,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,query full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,7.152557373046875e-07,0.0,0.000656790998618817,0.0,0.000675166000291938,0.0,40.0,0.0,3.0,0.0,3.0,0.0,64.0,0.0,6.0,0.0,1.0,0.0,0.000611,0.0,2560.0,0.0,480.0,0.0,120.0,0.0,960.0,0.0,1.1682510603350238e-06,0.0,1.2159347306806012e-06,0.0,1.418340048076061e-06,0.0,-2.3841858265427618e-08,0.0,3.910064606316155e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,joint | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,11.146096229553223,0.0,8.707419395446777,0.0,0.2,0.0,0.1,0.0,0.505,0.0,0.4937838228959287,0.0,0.505,0.0,0.5333333333333334,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.25,0.0,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,independent | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,11.146100044250488,0.0,8.707420349121094,0.0,0.2,0.0,0.1,0.0,0.505,0.0,0.4937838228959287,0.0,0.505,0.0,0.5333333333333334,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.25,0.0,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,marginal_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322040557861328,0.0,3.512230157852173,0.0,0.2,0.0,0.15,0.0,0.48125,0.0,0.4850195136096137,0.0,0.48125,0.0,0.5333333333333334,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.25,0.0,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,conditional_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322039604187012,0.0,3.5122265815734863,0.0,0.2,0.0,0.15,0.0,0.48375,0.0,0.5150188374770918,0.0,0.48375,0.0,0.5333333333333334,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.25,0.0,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,relational_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,9.5367431640625e-07,0.0,2.86102294921875e-06,0.0,0.05,0.0,0.0,0.0,0.48125,0.0,0.49464285714285716,0.0,0.48125,0.0,0.5583333333333333,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,known-law joint | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,0.0,0.748812998819428,0.0,0.6875,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law independent | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.0,0.45950737300420363,0.0,0.44,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law marginal_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4425,0.0,0.4680383326744373,0.0,0.4425,0.0,,,,,,,,,,,,,,,,
