experiment,variant,dataset,stage,method,d_mean,d_std,K_mean,K_std,dag_build_s_mean,dag_build_s_std,dag_leaves_mean,dag_leaves_std,dag_nodes_mean,dag_nodes_std,dag_params_mean,dag_params_std,dag_fwd_s_mean,dag_fwd_s_std,dag_logp_mean,dag_logp_std,tree_leaves_predicted_mean,tree_leaves_predicted_std,tree_build_s_mean,tree_build_s_std,tree_leaves_mean,tree_leaves_std,tree_nodes_mean,tree_nodes_std,tree_params_mean,tree_params_std,tree_fwd_s_mean,tree_fwd_s_std,n_seeds,seeds,axis:model.K
scaling,K-4,synthetic,scaling,d=8,8.0,0.0,4.0,0.0,0.004267454147338867,0.0,32.0,0.0,169.0,0.0,464.0,0.0,0.09677839279174805,0.0,-11.72293472290039,0.0,512.0,0.0,0.04369378089904785,0.0,512.0,0.0,877.0,0.0,1316.0,0.0,0.02613663673400879,0.0,1,[0],4
scaling,K-4,synthetic,scaling,d=16,16.0,0.0,4.0,0.0,0.007088422775268555,0.0,64.0,0.0,361.0,0.0,1040.0,0.0,0.006673097610473633,0.0,-24.839731216430664,0.0,4096.0,0.0,0.22443938255310059,0.0,4096.0,0.0,7021.0,0.0,10532.0,0.0,0.2135937213897705,0.0,1,[0],4
scaling,K-4,synthetic,scaling,d=32,32.0,0.0,4.0,0.0,0.015390157699584961,0.0,128.0,0.0,745.0,0.0,2192.0,0.0,0.01387166976928711,0.0,-51.65412139892578,0.0,32768.0,0.0,1.955974817276001,0.0,32768.0,0.0,56173.0,0.0,84260.0,0.0,2.023751974105835,0.0,1,[0],4
scaling,K-4,synthetic,scaling,d=64,64.0,0.0,4.0,0.0,0.03083181381225586,0.0,256.0,0.0,1513.0,0.0,4496.0,0.0,0.02820754051208496,0.0,-102.6513671875,0.0,262144.0,0.0,20.202019691467285,0.0,262144.0,0.0,449389.0,0.0,674084.0,0.0,13.957611799240112,0.0,1,[0],4
scaling,K-4,synthetic,scaling,d=112,112.0,0.0,4.0,0.0,0.05450892448425293,0.0,448.0,0.0,2665.0,0.0,7952.0,0.0,0.049898386001586914,0.0,-179.24717712402344,0.0,1835008.0,0.0,,,,,,,,,,,1,[0],4
scaling,K-4,synthetic,scaling,d=256,256.0,0.0,4.0,0.0,0.13149714469909668,0.0,1024.0,0.0,6121.0,0.0,18320.0,0.0,0.11589360237121582,0.0,-404.43194580078125,0.0,16777216.0,0.0,,,,,,,,,,,1,[0],4
scaling,K-4,synthetic,scaling,d=1024,1024.0,0.0,4.0,0.0,0.5190715789794922,0.0,4096.0,0.0,24553.0,0.0,73616.0,0.0,0.4684290885925293,0.0,-1638.68994140625,0.0,1073741824.0,0.0,,,,,,,,,,,1,[0],4
scaling,K-6,synthetic,scaling,d=8,8.0,0.0,6.0,0.0,0.014378070831298828,0.0,48.0,0.0,337.0,0.0,1428.0,0.0,0.006651878356933594,0.0,-11.72293472290039,0.0,1728.0,0.0,0.06017112731933594,0.0,1728.0,0.0,2827.0,0.0,4398.0,0.0,0.22602629661560059,0.0,1,[0],6
scaling,K-6,synthetic,scaling,d=16,16.0,0.0,6.0,0.0,0.014793157577514648,0.0,96.0,0.0,721.0,0.0,3252.0,0.0,0.012352943420410156,0.0,-24.839731216430664,0.0,20736.0,0.0,1.1959948539733887,0.0,20736.0,0.0,33931.0,0.0,52782.0,0.0,1.1902594566345215,0.0,1,[0],6
scaling,K-6,synthetic,scaling,d=32,32.0,0.0,6.0,0.0,0.030661582946777344,0.0,192.0,0.0,1489.0,0.0,6900.0,0.0,0.02513742446899414,0.0,-51.65412139892578,0.0,248832.0,0.0,16.206358432769775,0.0,248832.0,0.0,407179.0,0.0,633390.0,0.0,14.152734518051147,0.0,1,[0],6
scaling,K-6,synthetic,scaling,d=64,64.0,0.0,6.0,0.0,0.061981916427612305,0.0,384.0,0.0,3025.0,0.0,14196.0,0.0,0.051160335540771484,0.0,-102.6513671875,0.0,2985984.0,0.0,,,,,,,,,,,1,[0],6
scaling,K-6,synthetic,scaling,d=112,112.0,0.0,6.0,0.0,0.1152040958404541,0.0,672.0,0.0,5329.0,0.0,25140.0,0.0,0.09038257598876953,0.0,-179.24717712402344,0.0,31352832.0,0.0,,,,,,,,,,,1,[0],6
scaling,K-6,synthetic,scaling,d=256,256.0,0.0,6.0,0.0,0.25287628173828125,0.0,1536.0,0.0,12241.0,0.0,57972.0,0.0,0.20833635330200195,0.0,-404.43194580078125,0.0,429981696.0,0.0,,,,,,,,,,,1,[0],6
scaling,K-6,synthetic,scaling,d=1024,1024.0,0.0,6.0,0.0,1.370873212814331,0.0,6144.0,0.0,49105.0,0.0,233076.0,0.0,0.8460688591003418,0.0,-1638.68994140625,0.0,61917364224.0,0.0,,,,,,,,,,,1,[0],6
