experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,dead_mean,dead_std,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,alpha_mean,alpha_std,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std,censored_frac_mean,censored_frac_std,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_imputed_mean,picp_imputed_std
smoke,default,synthetic,ad,"RegionGraphPC [chain, K=4]",0.8771101036818243,0.0007965440696443816,0.78901476761364,0.0006785684163244553,0.5130425440481305,0.0043384372889124015,0.5603351955307263,0.002014274455566449,0.8038962899298094,0.0003873604722243255,0.9746147707041561,0.0005533721031776077,0.9994687962565055,4.304005246937292e-05,0.959451163361778,0.0008853953650841723,1.3525028412158673,0.7638025489981536,752.0,0.0,48.84603911179762,0.032366893313072756,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,z-score (per channel),0.8658627744118341,0.0,0.7594886570032552,1.1555567610933196e-16,0.5575418994413407,1.1555567610933196e-16,0.4751396648044694,1.1555567610933196e-16,0.9213221601489755,3.466670283279959e-16,0.7669592976855546,1.1555567610933196e-16,0.9903010552451891,2.3111135221866393e-16,0.9968076616121309,0.0,0.004257605626032903,0.000555314288802264,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,moving-average residual,0.7496655913132424,2.3111135221866393e-16,0.4818113790062209,1.7333351416399796e-16,0.5145251396648047,2.3111135221866393e-16,0.5664804469273744,1.1555567610933196e-16,0.9743947858472999,1.1555567610933196e-16,0.8180367118914605,0.0,0.7409993792675357,0.0,1.0,0.0,0.012556369488055889,0.0036292337653943746,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,diagonal Gaussian,0.8532535998111576,1.1555567610933196e-16,0.7253186707416451,1.1555567610933196e-16,0.6405027932960896,2.3111135221866393e-16,0.40111731843575427,5.777783805466598e-17,0.7025139664804472,2.3111135221866393e-16,0.8292098962490025,1.1555567610933196e-16,0.9990689013035381,1.1555567610933196e-16,0.8834796488427775,2.3111135221866393e-16,0.0036596151498647835,0.0017154943731985917,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,PCA reconstruction,0.8850420961523329,1.1555567610933196e-16,0.7797198666775209,0.0,0.5231843575418995,1.1555567610933196e-16,0.6698324022346369,0.0,0.8822160148975793,1.1555567610933196e-16,0.9413407821229052,1.1555567610933196e-16,0.9961980136561143,0.0,0.9301675977653633,1.1555567610933196e-16,0.6742710700401893,0.3355604569242628,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,1-NN distance,0.9134471634274921,2.3111135221866393e-16,0.8320966507731581,1.1555567610933196e-16,0.5723463687150838,0.0,0.7743016759776536,0.0,0.9543761638733703,2.3111135221866393e-16,0.9545091779728649,2.3111135221866393e-16,0.9969739292364993,2.3111135221866393e-16,0.994413407821229,0.0,0.03820688907916729,0.016688738287919114,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,Mahalanobis,0.8951923833503819,2.3111135221866393e-16,0.7815233145754191,1.1555567610933196e-16,0.4913407821229051,5.777783805466598e-17,0.812290502793296,1.1555567610933196e-16,0.990223463687151,1.1555567610933196e-16,0.9541101356743817,2.3111135221866393e-16,0.9712135319677219,0.0,1.0,0.0,0.00959478891812838,0.002743350435569119,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,PC · 3 dead (exact marginal),0.8338700012710556,0.001516707201103675,0.7368542346377738,0.00012350844782799654,0.5080146110872367,0.009374123427828585,0.4204555221314999,0.0007747209444486355,0.6181779114740008,0.0019368023611216272,0.8618392780403954,0.002545511674616965,0.9993792675356923,2.3111135221866393e-16,0.900392903186199,0.002324162833345922,,,,,,,1,[0],3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,PC · 3 dead (mean-imputed),0.841765677866079,0.0012766528239505771,0.7383913420462029,0.0003989978954218637,0.5443489471422434,0.00828951410560048,0.42887838418564683,0.0013944977000075504,0.6355822948001718,0.0020659225185297152,0.869697341764381,0.0007747209444486201,0.9992837702334908,6.456007870404398e-05,0.9002701209405117,0.0027668605158880084,,,,,,,1,[0],3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,z-score (per channel) · 3 dead (imputed),0.8564599889841844,0.0,0.7318209974415313,1.1555567610933196e-16,0.6674581005586593,1.1555567610933196e-16,0.5231843575418995,1.1555567610933196e-16,0.7015828677839852,0.0,0.7340383080606544,0.0,0.9932495344506516,2.3111135221866393e-16,0.9162011173184356,2.3111135221866393e-16,,,,,,,1,[0],3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,moving-average residual · 3 dead (imputed),0.7495082225194742,1.1555567610933196e-16,0.4707517945119457,1.1555567610933196e-16,0.5388268156424579,1.1555567610933196e-16,0.5659217877094972,0.0,0.7476722532588453,1.1555567610933196e-16,0.824022346368715,1.1555567610933196e-16,0.7736654252017381,0.0,0.9844373503591383,2.3111135221866393e-16,,,,,,,1,[0],3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,diagonal Gaussian · 3 dead (imputed),0.8226453694232435,1.1555567610933196e-16,0.7061277931401192,1.1555567610933196e-16,0.6231843575418995,0.0,0.3664804469273743,0.0,0.5367783985102419,2.3111135221866393e-16,0.7601755786113328,0.0,0.9975170701427684,1.1555567610933196e-16,0.8415802075019951,1.1555567610933196e-16,,,,,,,1,[0],3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,ad,PC · structural-only score,0.7927150353777151,3.273468779359587e-05,0.6076257265348126,0.0036901716232128194,0.36489041684572415,0.0017043860777870227,0.6216158143532445,0.0026340512111253634,0.6478298238074776,0.002582403148162128,0.8926269261464792,0.002766860515888008,0.9758869311941939,0.000624080760805861,0.608355331819019,0.0035415814603366597,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,calibration,SurvivalPC (raw exact predictive),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,42.866618224150756,0.005183400776858384,37.75620331018883,0.014901383599962558,140702.34313762316,1615.124163519095,22.369497408564655,0.010592440487597665,0.5753295668549908,0.013047463710500024,110.07257811565182,0.5477216617164893,153.1289573445383,2.8473371531351432,0.10141242937853111,0.001174271733944999,0.9779234031836191,0.00762897299165501,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
