variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
matched,circuit,bank0:0-1-2-4-5-7-8,1.3300485933323216,0.0396669385623294,0.6792026466658475,0.020259831034292086,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.6067097981770832e-05,7.221105379486432e-06,3,"[11, 12, 13]",1.0
matched,circuit,bank1:3,1.2922119066667317,0.07295750126622311,0.6254394286661409,0.0746804782278929,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,3.5921732584635414e-05,5.422821715428664e-06,3,"[11, 12, 13]",1.0
matched,circuit,bank2:6-10,1.2892913173333607,0.23726927628081623,0.6251013099996877,0.10497514176369448,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,13.0,0.0,2.0821889241536457e-05,5.728664808572165e-06,3,"[11, 12, 13]",1.0
matched,circuit,full,1.3755207963343612,0.016940673164817847,0.7560769973339726,0.13871478860910638,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,15.0,0.0,2.2729237874348957e-05,3.449524945292585e-06,3,"[11, 12, 13]",1.0
matched,circuit,random1:1,1.3737996856665025,0.01644220134245098,0.7526637010002256,0.11848940934971397,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,2.4159749348958332e-05,1.1012082465927615e-06,3,"[11, 12, 13]",1.0
matched,circuit,random3:5-8-14,1.3688150026658452,0.006986361508522347,0.6331804026667669,0.07230278005510117,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,12.0,0.0,2.4159749348958332e-05,5.827046324355875e-06,3,"[11, 12, 13]",1.0
matched,circuit,random7:3-4-8-10-11-12-14,1.4496380976658354,0.1316849716504811,0.640845069000837,0.05993737032773432,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.7020772298177082e-05,6.3498765167993474e-06,3,"[11, 12, 13]",1.0
matched,circuit,single_sensor_0,1.186372757000451,0.19068643946789887,0.5546671549988483,0.11055638463630554,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,1.0,0.0,2.86102294921875e-06,9.5367431640625e-07,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,0.12934167933174953,0.06483583622056412,0.003119653666847929,7.451829461665163e-05,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,25883840.0,0.0,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,bank1:3,0.7794549243347623,0.13988307260129645,0.0068460936660509715,0.0007413097169886001,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,32941280.0,0.0,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,bank2:6-10,0.6219853653334818,0.04471781749205747,0.00620117133197103,0.00031900897727574304,54.0,0.0,3171653.3333333335,217954.6570581444,1.0,0.0,13070.0,898.1647955692764,39499520.0,0.0,13.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,full,0.9228711696669052,0.08801114333151902,0.008823405666286513,0.0006359412676036289,62.0,0.0,4182400.0,287412.73458216846,1.0,0.0,13070.0,898.1647955692764,10214400.0,0.0,15.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,random1:1,0.7487516583338826,0.09322959773923635,0.006555552001373144,9.650703583496912e-05,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,17814720.0,0.0,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,random3:5-8-14,0.4454234533344182,0.07167332390717208,0.005291531999925307,0.00018228390183073277,50.0,0.0,2718560.0,186818.2774784095,1.0,0.0,13070.0,898.1647955692764,22944960.0,0.0,12.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,random7:3-4-8-10-11-12-14,0.12165169433380167,0.04767183509894506,0.0031453836672881152,8.101865646816519e-05,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,24414400.0,0.0,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gaussian_fitted,single_sensor_0,0.0021702509996733474,0.00016556211423684469,0.0005945966659055557,2.490777056534729e-05,4.0,0.0,34853.333333333336,2395.1061215180703,1.0,0.0,13070.0,898.1647955692764,39499520.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,0.30923567766634125,0.16686723108118554,0.006727733999772075,0.002393464792742627,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,69025194.66666667,29888786.04124974,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,bank1:3,2.0691250070012757,0.7664595457943655,0.015989798001101008,0.0048474284334959076,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,87845312.0,38038135.897685,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,bank2:6-10,1.674689400333591,0.5527095066689329,0.015186714999193404,0.005238751329465469,54.0,0.0,3171653.3333333335,217954.6570581444,1.0,0.0,13070.0,898.1647955692764,105334250.66666667,45611068.48296564,13.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
