variant,method,parameters_mean,parameters_std,nodes_mean,nodes_std,fit_s_mean,fit_s_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,final_train_nll_mean,final_train_nll_std,log_partition_mean,log_partition_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,n_seeds,seeds
matched,model,174240.0,0.0,23921.0,0.0,131.08584554990134,47.06718014075731,2760.0,103.92304845413264,180.0,0.0,177.33333333333334,2.081665999466133,34.818063735961914,6.906422197806719,29.97063600213279,5.2481180230416875,-1.9868214925130207e-08,4.057204297515181e-07,0.02,0.0,180.0,0.0,3,"[11, 12, 13]"
matched,model gaussian_fitted,45450.0,0.0,,,0.2563017829997989,0.026354975286638944,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
matched,model gmm_fitted,121201.66666666667,52482.294169875364,,,35.36257327866527,7.398546260768911,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
matched_nearest,model,174240.0,0.0,23921.0,0.0,81.62205346425374,22.445448353127713,2760.0,103.92304845413264,180.0,0.0,177.33333333333334,2.081665999466133,34.818063735961914,6.906422197806719,29.97063600213279,5.2481180230416875,-1.9868214925130207e-08,4.057204297515181e-07,0.02,0.0,180.0,0.0,3,"[11, 12, 13]"
matched_nearest,model gaussian_fitted,45450.0,0.0,,,0.24931261400100388,0.05881095100984738,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
matched_nearest,model gmm_fitted,121201.66666666667,52482.294169875364,,,34.38717111099928,7.305445218467683,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
matched_tight,model,174240.0,0.0,23921.0,0.0,82.81124703089397,18.32362091468847,2760.0,103.92304845413264,180.0,0.0,177.33333333333334,2.081665999466133,34.818063735961914,6.906422197806719,29.97063600213279,5.2481180230416875,-1.9868214925130207e-08,4.057204297515181e-07,0.02,0.0,180.0,0.0,3,"[11, 12, 13]"
matched_tight,model gaussian_fitted,45450.0,0.0,,,0.2282560363334293,0.023400711774748464,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
matched_tight,model gmm_fitted,121201.66666666667,52482.294169875364,,,33.864643117334104,7.443320607569706,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
unmatched,model,174240.0,0.0,23921.0,0.0,132.1579134464264,8.648830617153063,2760.0,103.92304845413264,180.0,0.0,177.33333333333334,2.081665999466133,34.818063735961914,6.906422197806719,29.97063600213279,5.2481180230416875,-1.9868214925130207e-08,4.057204297515181e-07,0.02,0.0,180.0,0.0,3,"[11, 12, 13]"
unmatched,model gaussian_fitted,45450.0,0.0,,,0.2531766790004137,0.039347800157397805,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
unmatched,model gmm_fitted,121201.66666666667,52482.294169875364,,,36.868308102001414,9.65434747285962,,,,,,,,,,,,,,,,,3,"[11, 12, 13]"
