run_dir,seed,mask_index,a,b,score,metric,interpretation,auroc_delta,ci_low,ci_high,bootstrap_reps_used,n_units,loc_ap_delta,end_to_end_unique_top1_delta,refused,reason
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.15421231326392038,-0.1741713605692725,-0.1339648108262449,1000,10,,,,
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2860324360777719,-0.2393331890066324,1000,10,-0.262028277770299,,,
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.40477501573316554,-0.3341089896579157,1000,10,,-0.37234042553191493,,
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.1462358533272975,-0.1781398839209467,-0.11297124324718676,1000,10,,,,
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2911051421907321,-0.24140333971470126,1000,10,-0.2664022021123085,,,
matched/seed11,11,0,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.27443197434722855,-0.1842105263157895,1000,10,,-0.23191489361702128,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.15014486192847443,-0.16582966352555717,-0.13317188269503555,1000,10,,,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2904280333303832,-0.24819220062353237,1000,10,-0.27011202755172065,,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.4050816363969913,-0.3409076668945089,1000,10,,-0.37446808510638296,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.14292440018107744,-0.16156541870345417,-0.11902636089713797,1000,10,,,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.29778498630346306,-0.25078254029193287,1000,10,-0.27430242454913506,,,
matched/seed11,11,1,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.31261147211220575,-0.2216437576142804,1000,10,,-0.2702127659574468,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.15436396559529197,-0.17018110228164465,-0.13470517694686196,1000,10,,,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2483092248657098,-0.21100649702699448,1000,10,-0.22983042239378637,,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.39286292810860846,-0.3187583756133425,1000,10,,-0.3595744680851064,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.15737890448166592,-0.1787769033233128,-0.12662617784906444,1000,10,,,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2641630652133796,-0.20720833112363113,1000,10,-0.23427194093668724,,,
matched/seed11,11,2,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.32849495123930056,-0.2576103541267476,1000,10,,-0.3,,
matched/seed11,11,3,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask3.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask3.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.16007695789950205,-0.1820792089513208,-0.13787210486375281,1000,10,,,,
