variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
blocked,circuit,bank0:0-1-2-4-5-7-8,1.2611481163342735,0.19921704587771302,0.5633641440011464,0.07983192336574592,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.6067097981770832e-05,7.221105379486432e-06,3,"[11, 12, 13]",1.0
blocked,circuit,bank1:3,1.1419282433331925,0.18098603528468632,0.5584093936668069,0.08629645227531638,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,3.5921732584635414e-05,5.422821715428664e-06,3,"[11, 12, 13]",1.0
blocked,circuit,bank2:6-10,1.3213907550004176,0.2588156565930695,0.5992278949997853,0.07676842154920045,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,13.0,0.0,2.0821889241536457e-05,5.728664808572165e-06,3,"[11, 12, 13]",1.0
blocked,circuit,full,1.2150000529994334,0.3146234865707088,0.5652199653328959,0.08260736651897911,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,15.0,0.0,2.2729237874348957e-05,3.449524945292585e-06,3,"[11, 12, 13]",1.0
blocked,circuit,random1:1,1.1392408669998986,0.18428803607861774,0.5641280160004195,0.08476623231124851,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,2.4159749348958332e-05,1.1012082465927615e-06,3,"[11, 12, 13]",1.0
blocked,circuit,random3:5-8-14,1.2325309336665669,0.17432229594279436,0.6195464073340796,0.09819475025542919,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,12.0,0.0,2.4159749348958332e-05,5.827046324355875e-06,3,"[11, 12, 13]",1.0
blocked,circuit,random7:3-4-8-10-11-12-14,1.204507093999079,0.29418622024390134,0.5616121130005922,0.09057367431355834,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.7020772298177082e-05,6.3498765167993474e-06,3,"[11, 12, 13]",1.0
blocked,circuit,single_sensor_0,1.2090625706684175,0.16021177302060116,0.5717647916656764,0.07789632770011842,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,1.0,0.0,2.86102294921875e-06,9.5367431640625e-07,3,"[11, 12, 13]",1.0
conditional,circuit,bank0:0-1-2-4-5-7-8,1.0185663916672638,0.03484184656803935,0.5030247340000642,0.01695980809134028,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.47955322265625e-05,1.9073486328125e-06,3,"[11, 12, 13]",1.0
conditional,circuit,bank1:3,0.9965711323335805,0.034281241027120005,0.5775475823332575,0.1672449405557125,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,4.57763671875e-05,1.52587890625e-05,3,"[11, 12, 13]",1.0
