variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,0.9672021410013258,0.228110529908842,0.2776688400001149,0.03763962968789409,34.0,0.0,360786090.4,55199400.085652694,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,8.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,bank1:3,1.5142716482005198,0.3614368444861594,0.3713856106005551,0.07413270611519503,58.0,0.0,615458624.8,94163682.4990546,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,14.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,bank2:6-10,1.441643055199529,0.3452817961229161,0.3491288273995451,0.07051254648384368,54.0,0.0,573013202.4,87669635.43015428,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,13.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,full,1.5144826318006381,0.5318621323173538,0.3635313168000721,0.08573583162611137,62.0,0.0,657904047.2,100657729.56795491,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,15.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,random1:1,1.564577815800294,0.32544034531075,0.42740226379974045,0.07672351933398733,58.0,0.0,615458624.8,94163682.4990546,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,14.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,random3:5-8-14,1.2060448645999713,0.27761193848746607,0.30603972719982264,0.11268929757174298,50.0,0.0,530567780.0,81175588.36125396,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,12.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,1.0111333498010935,0.2521773527057385,0.2800535762013169,0.040302983665906345,34.0,0.0,360786090.4,55199400.085652694,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,8.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,circuit,single_sensor_0,0.2574388852008269,0.04655841922752224,0.1326449251988379,0.007029653141939573,6.0,0.0,63668133.6,9741070.603350475,1.0,0.0,13308.0,2036.0918446867763,0.0,0.0,1.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,0.12937611380039016,0.030969735206024713,0.0032332039998436814,0.0002750949599890861,34.0,0.0,1277568.0,195464.81708993053,1.0,0.0,13308.0,2036.0918446867763,25883840.0,0.0,8.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,bank1:3,0.7569613031999325,0.12439737731112847,0.006928951600275468,0.00039466123144204026,58.0,0.0,3726240.0,570105.7165122974,1.0,0.0,13308.0,2036.0918446867763,32941280.0,0.0,14.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,0.6105615524000314,0.09000526336879434,0.00611217640034738,0.00016395289075209275,54.0,0.0,3229408.0,494091.62097732443,1.0,0.0,13308.0,2036.0918446867763,39499520.0,0.0,13.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,full,0.9964712460001465,0.21062749005292644,0.00965565520018572,0.0012129491270993456,62.0,0.0,4258560.0,651549.3902997684,1.0,0.0,13308.0,2036.0918446867763,10214400.0,0.0,15.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,random1:1,0.8326864531998581,0.12212894031610068,0.007357360000605695,0.0008168310803676188,58.0,0.0,3726240.0,570105.7165122974,1.0,0.0,13308.0,2036.0918446867763,17814720.0,0.0,14.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,random3:5-8-14,0.4981272976001492,0.07740755999839681,0.005929473599826452,0.0008539749801829544,50.0,0.0,2768064.0,423507.1036948495,1.0,0.0,13308.0,2036.0918446867763,22944960.0,0.0,12.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,random7:3-4-8-10-11-12-14,0.12979606200024135,0.028313539774547578,0.0031790218003152405,8.161754785787728e-05,34.0,0.0,1277568.0,195464.81708993053,1.0,0.0,13308.0,2036.0918446867763,24414400.0,0.0,8.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
chow_liu_leaf6,gaussian_fitted,single_sensor_0,0.0022321795993775597,0.00021373329395615615,0.0005843611987074837,1.537196101162147e-05,4.0,0.0,35488.0,5429.5782524980705,1.0,0.0,13308.0,2036.0918446867763,39499520.0,0.0,1.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",1.0
