run_dir,seed,mask_index,a,b,score,metric,interpretation,auroc_delta,ci_low,ci_high,bootstrap_reps_used,n_units,loc_ap_delta,end_to_end_unique_top1_delta,refused,reason
chow_liu_leaf6/seed21,21,0,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.048972000000000016,-0.07349671294985548,-0.021934137688969343,1000,10,,,,
chow_liu_leaf6/seed21,21,0,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.1403130575170614,-0.10725180339518724,1000,10,-0.12394141071891074,,,
chow_liu_leaf6/seed21,21,0,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.07708244996810337,-0.028507212368996816,1000,10,,-0.052000000000000046,,
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_impute_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_impute_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_impute_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_refit_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_refit_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_gmm_refit_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_impute_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_impute_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_impute_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_refit_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_refit_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_knn_refit_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_impute_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_impute_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_impute_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_refit_detect_mask0.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_refit_detect_mask0.npz,relational_max,loc_ap,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,0,diagnosis_mask0.npz,diagnosis_mahalanobis_refit_detect_mask0.npz,relational_max,end_to_end_unique_top1,,,,,,,,,True,artifact predates this comparison: kinds is absent
chow_liu_leaf6/seed21,21,1,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.04972399999999999,-0.07597547070783917,-0.02176607746157323,1000,10,,,,
chow_liu_leaf6/seed21,21,1,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.14309345513998886,-0.10579717316720684,1000,10,-0.12443065730565717,,,
chow_liu_leaf6/seed21,21,1,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_fd001_candidate/chow_liu_leaf6/seed21/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.08290391432946657,-0.03837545665666207,1000,10,,-0.06,,
chow_liu_leaf6/seed21,21,1,diagnosis_mask1.npz,diagnosis_gmm_impute_detect_mask1.npz,relational_max,auroc,,,,,,,,,True,artifact predates this comparison: kinds is absent
