experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,restarts_run_mean,restarts_run_std,selected_restart_mean,selected_restart_std,restarts_abandoned_mean,restarts_abandoned_std,selected_optimizer_steps_mean,selected_optimizer_steps_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,min_epochs_mean,min_epochs_std,patience_mean,patience_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,components_mean,components_std,rank_mean,rank_std,selection_score_mean,selection_score_std,n_stabilizations_mean,n_stabilizations_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,trials_mean,trials_std,trial_alpha_mean,trial_alpha_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_power_q05_mean,trial_power_q05_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_fits_mean,n_fits_std
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,model,-5.960464477539063e-08,2.980232238769531e-07,2400.0,0.0,2385.0,0.0,19136.0,0.0,23921.0,0.0,195840.0,0.0,13680.0,985.900603509299,600.0,0.0,599.0,0.0,-20.47046012878418,8.624059081744944,4.0,0.0,0.4,0.894427190999916,2.8,0.4472135954999579,8880.0,268.32815729997475,242.30340695381165,11.467794529697061,-27.06014947938875,4.545476638281793,0.05,0.0,600.0,0.0,100.0,0.0,60.0,0.0,256.0,0.0,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,0.5499691103156396,0.010437524934745833,0.0,0.0,966.8,121.16600183219714,592.8,117.97118292193225,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,model gaussian_fitted,,,,,,,,,,,45450.0,0.0,,,,,,,,,,,,,,,,,0.1803628514000593,0.01889560142067858,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,1.0,0.0,300.0,0.0,-171.86410883568502,5.378370049144868,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,0.0,0.0,0.4132014127999355,0.06695564505450542,0.15625777799978097,0.006643636233468703,592.8,117.97118292193225,15.0,0.0,15.0,0.0,15.0,0.0,55.8,13.863621460498697,1334791.8,331631.6889565893,0.0,0.0,1.0,0.0,0.0,0.0,439591432.8,87481648.66694178,0.0,0.0,8892.0,1769.5677438289838,0.0,0.0,15.564524078369141,4.921871756925963,15.801644706726075,4.7724190490171825,8.646262550354004,1.7503611196217252,1.7488452538847923,2.4818142869992017,28.95406303405762,6.1251052757079885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,15.0,0.0,39.64044342041016,9.606060430363286,2822.108251953125,972.4967943432672,0.02380724276681357,0.03437017016568901,0.5498713793215633,0.060207744877436145,0.824665456748205,0.021178644475332277,0.8722630022465789,0.018010431470381796,0.5059163584607307,0.027924309394812004,0.7202892180550435,0.03594892483342507,0.9994276252252657,0.0008859009498182098,0.9998496617389125,0.0003361665714106655,0.9247552913994621,0.03402418650946142,0.7402937741838054,0.03041920237293512,296.4,58.98559146096613,0.0,0.0,0.0,0.0,0.0,0.0,296.4,58.98559146096613,131.4,21.651789764358973,0.7089714438267174,0.035479276610198715,0.5365923728306766,0.0514978393489351,200.0,0.0,0.1,0.0,0.02380724276681357,0.03437017016568902,0.02380724276681357,0.03437017016568901,0.02380724276681357,0.03437017016568901,0.0,0.0,0.5498713793215633,0.0602077448774361,0.5498713793215633,0.060207744877436145,0.0,0.0,15.0,0.0,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,15.0,0.0,67.88531494140625,15.467231525462422,2788.0938232421877,990.3048613391945,0.023029315960912053,0.03198566042812914,0.4730451540025097,0.054886048317756855,0.7735877021143748,0.023877977746539634,0.830854592782929,0.022751280294357596,0.49934719168900354,0.027346920162938087,0.514831414174522,0.036979341663418853,0.9896410397343051,0.008625333521521571,0.9891996455885532,0.012410917618494666,0.8989639054588358,0.04781848687137659,0.6758378919841104,0.03622545361897615,296.4,58.98559146096613,0.0,0.0,0.0,0.0,0.0,0.0,296.4,58.98559146096613,154.2,24.37621791829077,0.6237498831704291,0.04539780021219387,0.46091227031423515,0.046313367803131666,200.0,0.0,0.1,0.0,0.023029315960912056,0.03198566042812915,0.023029315960912053,0.03198566042812914,0.023029315960912053,0.03198566042812914,0.0,0.0,0.4730451540025097,0.054886048317756835,0.4730451540025097,0.054886048317756855,0.0,0.0,15.0,0.0,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,15.0,0.0,31.97476921081543,2.597095865015364,2241.5405517578124,1263.2210641788922,0.027267270484519435,0.04395250786087332,0.5816587927502886,0.05719084442201325,0.7949340793644712,0.017144882618579424,0.855465034233968,0.016526543244443317,0.49746084128215146,0.019651314820446558,0.5226770597710081,0.06573248206217347,0.9985218995655121,0.0023466057465568245,0.998888171034717,0.002430484881856075,0.9689512744470736,0.008491472373721444,0.6758378919841104,0.03622545361897615,296.4,58.98559146096613,0.0,0.0,0.0,0.0,0.0,0.0,296.4,58.98559146096613,122.4,22.64508776754906,0.6237498831704291,0.04539780021219387,0.5704960805031698,0.05245201282486506,200.0,0.0,0.1,0.0,0.027267270484519435,0.04395250786087333,0.027267270484519435,0.04395250786087332,0.027267270484519435,0.04395250786087332,0.2,0.44721359549995804,0.5816587927502885,0.057190844422013165,0.5816587927502886,0.05719084442201325,0.0,0.0,15.0,0.0,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,15.0,0.0,30.496704864501954,1.7098336785620014,2246.3050537109375,1261.8168139111046,0.018042865485646244,0.008855391955287544,0.6500947601666884,0.04414615500247763,0.839358645421828,0.01752171143717004,0.8894751455541371,0.013592236746528423,0.4910740560688929,0.01060793200414553,0.7571727630310067,0.027549102120144303,0.9999237223493516,0.00017056201201373823,1.0,0.0,0.9713835194982712,0.00515359693009506,0.7402937741838054,0.03041920237293512,296.4,58.98559146096613,0.0,0.0,0.0,0.0,0.0,0.0,296.4,58.98559146096613,102.0,14.815532390029054,0.7089714438267174,0.035479276610198715,0.6434328517967385,0.04454033492055438,200.0,0.0,0.1,0.0,0.018042865485646244,0.008855391955287546,0.018042865485646244,0.008855391955287544,0.018042865485646244,0.008855391955287544,0.0,0.0,0.6500947601666885,0.044146155002477636,0.6500947601666884,0.04414615500247763,0.0,0.0,15.0,0.0,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,15.0,0.0,6.10394515991211,1.2474664728826335,145.11424713134767,11.86993753846645,0.05251513683293322,0.04390213301113685,0.5119820729528701,0.048043593171867814,0.7741255587500597,0.01564128039940319,0.8311323442079506,0.01009503731751946,0.5022937967131715,0.020490077003229096,0.8382688535704469,0.02320870725762963,0.9806086990048998,0.006045959769543544,0.9783004470216741,0.014778392403165069,0.628423555397173,0.043415880633082826,0.5606078752776027,0.016293054793157517,296.4,58.98559146096613,0.0,0.0,0.0,0.0,4.2,6.648308055437865,292.2,56.481855493600776,141.0,25.66125484071268,0.5448780611212305,0.023287051660451898,0.4371651559899921,0.037110643602346935,200.0,0.0,0.1,0.0,0.05251513683293322,0.043902133011136865,0.05251513683293322,0.04390213301113685,0.05251513683293322,0.04390213301113685,0.2,0.44721359549995804,0.51198207295287,0.0480435931718678,0.5119820729528701,0.048043593171867814,0.0,0.0,15.0,0.0,,
diagnosis_fd001_reliability,restarts4_cosine,cmapss:FD001,diagnosis,query full | gaussian_fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",restarts4_cosine,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5118447091997951,0.09899379243794856,0.00917911840006127,0.0017164561085143098,592.8,117.97118292193225,15.0,0.0,15.0,0.0,15.0,0.0,55.8,13.863621460498697,8640.0,2146.625258399798,0.0,0.0,1.0,0.0,0.0,0.0,2845440.0,566261.6780252748,0.0,0.0,8892.0,1769.5677438289838,10214400.0,0.0,13.29884714611345,2.3032477249029903,13.332562975087736,2.282114513889611,6.067602432631846,0.5010177749228425,3.1222495537267188,1.529520708205959,23.44149836521226,2.185404119455869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
